ADDRESS,VOLUME_DITTO,BUSD_REWARD_18_DECIMALS,DITTO_REWARD_9_DECIMALS
0x1F36E46a26d7eDF1c8792Deb4019018dd591B75d,235852.56342181604,484161685137236033536,417347372588
0x355C1Cf73c2c1D0193B0Dac92863D5F254A3E83D,183331.34982558998,376345348900419862528,324409690752
0x7eE2523b5cdb72e825d64889fFA19B62c44C9300,102158.65418991199,209712819934374494208,180772450783
0xB2a4584407bB58A02a4183D20A4fBC1dB4c55B92,56340.453566198004,115656529419274715136,99695928359
0x2ec7e3bb3A14fb4a3320232150a3AE32E51EDa03,54723.40915723801,112337036365541834752,96834525347
0x60ec01d3E9C199980ba402c933Bc56A599936eAd,54319.866187611995,111508637295526264832,96120445348
0x936893E8A87f607DE104A91002231B56a670119C,53155.78169757601,109118987167662489600,94060566938
0xA82800b1b5e28353FCF7a4D8cF6df98DD8F050fd,52783.80926623399,108355396572884647936,93402351845
0xb57677FE25c35896560353467a9C78b97074755c,48967.61225427,100521450020335681536,86649489917
0xe0ccAC1acD0EBC55365A391B68dE00de941129E1,48880.321383220005,100342258008972738560,86495026403
0xD8a7505Ca62deD0C922725f22445b485A1792f51,46558.652579994996,95576301413921390592,82386771818
0xC139e62e6e382Ec49fb4fa2C4ceeDe8219094295,45392.825660475995,93183074400640319488,80323810133
0xeb83ca387489Af2C798928d38C84000446F7DC09,44341.504598825995,91024906732484100096,78463469603
0x30120ed39bc992c761303707211309F5b1e568BD,43424.52469561,89142516612415684608,76840849319
0x76Dd75aA51a8CE2883dF44f6d6626789b6bc8eBf,43290.384684141,88867151981839220736,76603485008
0x16C9B7a557CeB103CEb07929bc9F0e97aFe2CD37,43228.686198104006,88740496402876252160,76494307899
0x76982506305F334457Ad9256fA47542408f4B379,41055.960427132,84280292301835730944,72649611964
0x02B6E5135Ca0CD269781f39e28f43173DDE7435c,39026.272003431994,80113717415962624000,69058024412
0x89b93B44b1a5006738EaB59A2737ad9E142D5EC9,38381.868180007004,78790875567089745920,67917734738
0xe0627b9F8f08416cd5d72373F302E85d19d3E278,37399.18934796,76773617698996699136,66178858456
0xbf579d09F77B39cb65c82FDBfd099240C6c5c51a,34214.079533704,70235176426008240128,60542722079
0xC7c9953F81b73630Cb694939e9aED01bfF60Fa69,34007.557358192,69811224601769353216,60177275606
0x826811e8b0674cd40B73d9E8De151436C6533278,32260.969284273,66225802366621392896,57086641640
0xFEE04b4f45B1cb7E5d0a747Dc842440F162f73f5,31869.118726425993,65421405655147593728,56393251674
0xfd0315B6d5B8A2d8C73072FD105a285b1658A223,31849.482106741,65381095307279630336,56358504154
0x807B26F44F31d2c4cf073DEb6D1B7B030Ad012F6,30363.47362751,62330594778498211840,53728972699
0x5ca811BbEf41A81D9Ce69BF1876fdf28e938F39a,29005.821260260996,59543585604541390848,51326570791
0xE6EdEc6b534942627B147704EA4F4ef790976e5C,26102.818643976,53584258225323507712,46189630590
0x48C66C89e2adAe75D2751cFC14F410a6bA4eE368,25707.828496875005,52773416517866659840,45490685038
0xac4EAd9668112B5743C5044F12fEee62B50cd31c,20431.796898704,41942699597316554752,36154607052
0x2b33dE263b615a2b8Acc0a6bFB55e4E67811f1cE,19945.384218392002,40944184340347371520,35293886901
0xE1845c8bc921e34Bb4d988Fdba356c56286bB151,19300.444387126,39620242166526640128,34152648747
0x88F7541D87b7f3c88115A5b2387587263c5d4C7E,19157.613516498,39327036809715687424,33899905729
0x342d5A0520B563d0F6fDbEe619Dde6f33C93E89b,17896.084272035998,36737350626164408320,31667596239
0x8500E7991D2142271716495c30A5DA58Eeb26007,17476.85164308,35876743587788357632,30925752972
0x064d2AB56D277D5d3117858b060528778Dc176aC,17309.411260705,35533019455582445568,30629462770
0x33279E8DF05fd4dCf24eCcF7EFbe460c8E352Ce6,15714.179461841,32258303655520641024,27806657751
0xb4eEf1e7c6E571D088e1B1e5b6DD7E2f66Bea1dD,15659.755201977,32146580717318037504,27710352578
0xad8d4404FE66E6C79EE112cF43cAA6245A4C97a7,15078.364161821999,30953092456511213568,26681565697
0x5745e0EdBD721F0549E2Ef22100cb29a8E8C4aC9,14316.076894627,29388257703438307328,25332678140
0xF9Da7210bfF141260b4b1FE4744E5249F7D0b065,13319.429401232,27342324757494796288,23569083940
0xe76f8cF164406F51201f21c5ed57a4EEcBB5b883,12947.226088661002,26578260206261821440,22910460297
0x4311D7034c92c2Dc9F38Fbcf6Df743D7Dc5Db4e2,12320.859635211,25292445741428510720,21802088229
0x86CF7492DbFe2DDfA7A14624A8dC7C0192C5E83F,11876.547644830998,24380355413182525440,21015866366
0xA71F1c19a9e655D8f3E394d6E78193cB966e8fE2,11215.099237903001,23022524187253280768,19845415849
0xcc4E31786A29DA13820C4CF179c021D50F17F1c2,10868.968525673998,22311981861661388800,19232928364
0x5C9dE63470D0D6d8103f7c83F1Be4F55998706FC,10694.215817658,21953246877534883840,18923698808
0x8288fdA1D1B0BF1Bb8D35D6B672D1FC040084f87,10056.876850694,20644907872132440064,17795910585
0xF726f45b78FFB79c1B30E1cA5A923437AeA1E1e7,9602.027706962,19711186717197799424,16991042950
0x8211d8CF743e011a2DE0ebea2DcCd44e897C4fe3,9539.477982793,19582783703810281472,16880359552
0x4191131cD452E9729546B79F9f4E00C12e1D1C22,9300.822661534,19092868475282231296,16458052625
0x05Ec756A9cd4554D95F59EB2a9D5a5Dd1c023e04,9019.407630017,18515175471206035456,15960081256
0x819D9fF8549eD1395B98BF23aB5f59E876419a5E,8540.099541601001,17531244627205163008,15111932868
0x05a203503477f097a31844A003F9C9450765a5f2,8367.770385633,17177484747129053184,14806991852
0x5cEf7fC7Ed69fE3F3B772f983D5C1eD54F36B1ef,8192.698922126001,16818095416942319616,14497198249
0xc3A1C411b7B895997cc37Eec950Cf5026C6016c7,7644.418330878,15692576783032412160,13527001186
0x8dFc298C549aC38F208508bB9fBC0373d45dE502,7591.843323652,15584650018424315904,13433968315
0xd4eE6fB0279634C866bAE5F494B2081603F9498E,7388.485890672,15167194825195440128,13074121939
0x99CE2eC80940d03a30898421654A038E75ab54A8,7307.11842597,15000162471364255744,12930140050
0x09dc113b466285e37F37A8Ad467246c04addAb8d,7176.650903228,14732336780814204928,12699274305
0x13cF992B11BCefe66AB274FC25d0d57Fc53A5950,6379.014148761001,13094936069254176768,11287834891
0x17e3597F156a309b0Fd31FBeC6760D8400B518B5,6174.695990353999,12675508684436869120,10926288485
0x6Bb48ee6dC739Db470e29E3DCf0c3B34E94277dB,6150.577359382,12625997596470775808,10883609928
0xb9940A8b1DD82F063CAB9d4E9318aE57653aFA94,6066.533768401,12453471650413656064,10734892562
0x71AaBeCe380059ad48e943816d8EC479BeA7fB0a,5987.794504167,12291834505983649792,10595561344
0x24266b04b3c96B1bAB4704F7c59bE7123bcd2B70,5911.108114487,12134411533276094464,10459862741
0x0D3CAE1ff719D6A2aC0Fcd7Cd22F599caC64B6EC,5838.364018305,11985081359881824256,10331140132
0x617250Fc0d7ab1023228b82F7264030b4de08293,5814.866856286,11936846032718069760,10289561280
0x270b01C5Fd34db3978ACd3ca5eDF3deD9B851226,5799.714845872,11905741758128785408,10262749395
0xC743Dc05F03D25E1aF8eC5F8228f4BD25513c8d0,5776.077804017001,11857219283536433152,10220923022
0xC82BA62DdC0906E65DdE7e4c94BB61A42a31160d,5624.085658462,11545207523935916032,9951968885
0x771bcbDf96b07A731ca4475A3F27775714337420,5488.0434615350005,11265938058476906496,9711238606
0x581DA8c659CD1ff7310516d9d6Feb22D70f9B9Ec,5473.212700976,11235493250415734784,9684995181
0xF3aD9dc55710cE3676055735f34Aa0C37DC82291,5274.821949161,10828233734891177984,9333937479
0x2B8Bf21E37061Bd5F949d5ffd7E5D0f8815C5F57,4973.111732412,10208878469699244032,8800053240
0xC055a07c7F51745290D3F348dea565ec0FC5B5D8,4863.085439424,9983014842653558784,8605358794
0x3C9554077128f0a1fC2F43ed8A092762B43954b3,4850.869571085,9957937924622157824,8583742491
0x97565F965e5fB10787bC065db78d9faEe3667511,4772.569529687,9797202423427837952,8445188488
0x706cd6684213F71f29C8feab39A5f57ED3636600,4616.185725178,9476175400355653632,8168463195
0xF90447A910EBeAd377dbAE1205A30B62241Eab64,4537.431960917,9314508490052401152,8029106318
0x995E377e8D5200e3AC61Fd919C06B9aD45d743D4,4535.901926754,9311367612938631168,8026398882
0x17D3D1bf9E67e82b36e14D77f339badF1b114Cad,4433.868876704,9101912635069477888,7845848691
0x01adA2D4e2f49743869B47c52779ba87e4C43Fc0,3970.0533508999997,8149785156325666816,7025114804
0x32c27790fc9598bc8C23C5ed0C1255115DeD3570,3873.372946805,7951318170479651840,6854036262
0xA5eDa5eBc2Fc162cbB6a8453C3aC87BC8Cdf034A,3692.106870943,7579212446995952640,6533281129
