"Address","Total Volume","Total Transfer","Total Ditto Bought","Total Ditto Sold","From Block","To Block"
"0xD2C6dB857E3BaA87Fa15241181ed8bC2fBCB9E4C","155055.279007134","80055.279007134","75000","0","4,959,436","4,981,102"
"0x5cE9aD759E41BF1b3dFC1a41Db940A90d7a43460","91387.417165866","30462.472388622","30462.472388622","30462.472388622","4,959,436","4,981,102"
"0x957Cf4F4F0e81fB1F0a0873abCB8F3dB8282fD7B","76011.119299293","48131.395837336","27879.723461956997","0","4,959,436","4,981,102"
"0x70D8929d04b60Af4fb9B58713eBcf18765aDE422","59431.954738951994","0","0","59431.954738951994","4,959,436","4,981,102"
"0xa788C59880F31d6a9c3511A8064286682b01756b","56438.327496156","28219.163748078","28219.163748078","0","4,959,436","4,981,102"
"0xf13F7bF69a5E57Ea3367222C65DD3380096d3FBF","45561.724196086","23523.588270709","22038.135925377","0","4,959,436","4,981,102"
"0x20bCC3b8a0091dDac2d0BC30F68E6CBb97de59Cd","42178.154991724994","0","0","42178.154991724994","4,959,436","4,981,102"
"0x1ED322Bcf332f474518c4AeBAc33A5DAC706b62e","39153.625670056","0","39153.625670056","0","4,959,436","4,981,102"
"0x32E5D40d3ee62C3DaA4fE93a323BE0db49885E30","37987.220027828","0","37987.220027828","0","4,959,436","4,981,102"
"0x7c47cf5597aF0B91ead5F318cCf1d2c31FF93DBa","29336.62250864","11052.902519384","18283.719989256","0","4,959,436","4,981,102"
"0xb51423c14a448F81563CEbd54AB86719E5C46510","28740.178117448","14370.089058724","14370.089058724","0","4,959,436","4,981,102"
"0x0280f96A1eAb668c11C0537435796DAd6e16Efd0","28491.34812912","0","28491.34812912","0","4,959,436","4,981,102"
"0x8211d8CF743e011a2DE0ebea2DcCd44e897C4fe3","28173.354665709","28173.354665709","0","0","4,959,436","4,981,102"
"0x5C28C9B410049A905e4fb454a663BAb06a927CCD","23929.822830369","7976.607610123","7976.607610123","7976.607610123","4,959,436","4,981,102"
"0xaD0f466E5845f1AdE717844CfCC80fE827F5e532","22365.408077139","11420.83210632","10944.575970819","0","4,959,436","4,981,102"
"0xb57677FE25c35896560353467a9C78b97074755c","21635.356020482","14478.467853126","7156.888167356","0","4,959,436","4,981,102"
"0x8C39f76b8A25563d84D8bbad76443b0E9CbB3D01","19719.670839016","19719.670839016","0","0","4,959,436","4,981,102"
"0x371424d16edd2bDC59F66397039f6204B8aB23Ea","19000.757834464","9500.378917232","9500.378917232","0","4,959,436","4,981,102"
"0xe14FdE3bbBa7CB6D10F1E819c982D4b8A2aA0D38","15913.231021677999","4914.195394877","10999.035626801","0","4,959,436","4,981,102"
"0x7052927B73f0854209A6E95e9BB15eE8A06aaaF9","15608.163115182","5333.678598967","10274.484516215","0","4,959,436","4,981,102"
"0xA849bd39D0f406Ee4F14D4351505b51b4d5A39a0","15546.30909373","0","15546.30909373","0","4,959,436","4,981,102"
"0x423c85C28DEB718C8374536288C421e6E349665E","14833.555932707","7416.786829211","7416.769103496","0","4,959,436","4,981,102"
"0xaE8085B32Ae9aE8A0485D650Bb9DD32c0B76786b","13989.708307063","7143.804809655","6845.903497408","0","4,959,436","4,981,102"
"0x4817D574bdBA24A3a8302a747e514C6E1a2e98eF","13892.080352608999","4089.36493509","9802.715417518999","0","4,959,436","4,981,102"
"0x0BC1A5BC41c566489c20Ad3eC973FA38cbe36407","12964.801947541","12964.801947541","0","0","4,959,436","4,981,102"
"0x73AD197CE8B2859F95D73b4257e3878204F0b849","12833.177950384","12833.177950384","0","0","4,959,436","4,981,102"
"0xeb83ca387489Af2C798928d38C84000446F7DC09","12369.762537824","12369.762537824","0","0","4,959,436","4,981,102"
"0x4b9c19Ae685C58B535a1baB0Fdd925875E71eC50","12247.836248363","6188.438167444","6059.398080919","0","4,959,436","4,981,102"
"0x19bF20A818eB6e237523508B3bDFF016D2c95909","11998.567588016","7779.1643371949995","4219.403250821","0","4,959,436","4,981,102"
"0x0084f1798082146a3182AAa26A72A11f78AC7E2A","11679.485034012","3894.08971949","7785.395314522","0","4,959,436","4,981,102"
"0xaB744Ca5908405f093Cdb18a5061Bb1F13B217A7","11342.752856981","11342.752856981","0","0","4,959,436","4,981,102"
"0x7Bb89460599Dbf32ee3Aa50798BBcEae2A5F7f6a","11052.902519384","0","0","11052.902519384","4,959,436","4,981,102"
"0x9d40Ed38E2D73F3c0513176E4242ffdEc7F96dD7","10757.660565901999","5745.30901361","5012.351552292","0","4,959,436","4,981,102"
"0x9643693ce1d2bC6aE4F2048D9F24db0C3E07FF01","10285.292245127","5189.28827882","5096.003966307","0","4,959,436","4,981,102"
"0xA71F1c19a9e655D8f3E394d6E78193cB966e8fE2","10000","10000","0","0","4,959,436","4,981,102"
"0x7ECD2aA5190B77927a360a96c81623652B45073D","9194.495400902","4597.247700451","4597.247700451","0","4,959,436","4,981,102"
"0x50Aec6FE00a8854E9c3d65786D62780fc797d468","9102.729863100001","3034.2432877","3034.2432877","3034.2432877","4,959,436","4,981,102"
"0xAC8EB5c1c12CC1db3e37BB64cC9f2220e16395D9","8483.647389522","4241.823694761","4241.823694761","0","4,959,436","4,981,102"
"0x1BeDda29B3860d2AbE40A8f97047eFE01E184BC1","8457.824284686001","4283.343904737","4174.480379949","0","4,959,436","4,981,102"
"0x03fF6c83226CDB10c7a42A2c54c67D63A135Ab69","7967.859494327","0","0","7967.859494327","4,959,436","4,981,102"
"0xcd81917ff5313d02d7Da3d47a9Afcd3f635c36e3","7800","7800","0","0","4,959,436","4,981,102"
"0x44099bC16e1603D54b5fEC0D19aFCc04fc792DcD","7434.481719619","3838.434345148","3596.047374471","0","4,959,436","4,981,102"
"0x781CBa923aCc8445431ED2ffD11b2bCEcA898b5B","7275.256006786","0","7275.256006786","0","4,959,436","4,981,102"
"0xd560Bd64654A8467d7A4aAa9B661CD8BC1F648Bc","6678.549620918","2000","4678.549620918","0","4,959,436","4,981,102"
"0xde90cdE0A270d50C660f16474Ff3608ec33a6272","6606.163335162","3303.081667581","3303.081667581","0","4,959,436","4,981,102"
"0x2047240A2e2eF7dfb3c36Bbbf2535bd4d6f21308","6349.623673669","6349.623673669","0","0","4,959,436","4,981,102"
"0xc2f36A02C81870Ff43e1476c75E121e384D7Ae05","6017.351085932","4330.622510682","1686.72857525","0","4,959,436","4,981,102"
"0xFA18027C3201Fa33880091C74125Ed57BaF99f4c","5921.934447540001","3585.501638219001","2336.432809321","0","4,959,436","4,981,102"
"0xDa2eE83B6A9Ce5426E1661Cfd747eAE51fFD5083","5847.161965704","0","5847.161965704","0","4,959,436","4,981,102"
"0x4e65b4c364A194302E80d9576B9A0f9637777ec0","5800.289633819","1301.676132993","4498.613500826","0","4,959,436","4,981,102"
"0x72c29B863fAafcbFE1Db1A195c129BA8dC8e7e00","5737.853467435","0","5737.853467435","0","4,959,436","4,981,102"
"0xb70711A4F9eE75b0F9fbE1237D75bB95617E5D52","5613.669157792","5613.669157792","0","0","4,959,436","4,981,102"
"0x031F7067369eA3aA9C2d0885F5a2905D60f41949","5575.656963089999","2787.8284815449997","2787.8284815449997","0","4,959,436","4,981,102"
"0x22Da6663B02b56da94A7415f9B32c5Eb830D1cF8","5547.987029827","2773.993514914","2773.993514913","0","4,959,436","4,981,102"
"0x761B54902e011766224D4c0655946943d096C734","5032.208252613","0","5032.208252613","0","4,959,436","4,981,102"
"0x3A45468c2B85A969Ab3999f9b286da9bab226709","4991.890466478","2495.945233239","2495.945233239","0","4,959,436","4,981,102"
"0x43aA1a40F46c9A1D059b5EaA04c504d852a258f2","4860.023860449","2481.757379586","2378.2664808629997","0","4,959,436","4,981,102"
"0xeB9b4eE4CA6b2C15f152Ce4D19704e216d4aE43e","4859.621445479001","3190.369179754","1669.2522657250001","0","4,959,436","4,981,102"
"0x99CE2eC80940d03a30898421654A038E75ab54A8","4853.111255861","2499.921955787","2353.1893000739997","0","4,959,436","4,981,102"
"0x8dFc298C549aC38F208508bB9fBC0373d45dE502","4696.293360912","4696.293360912","0","0","4,959,436","4,981,102"
"0x827184a6995610c335337e981A8823260d5e6f8b","4580.297320275","0","4580.297320275","0","4,959,436","4,981,102"
"0x49C334F0eD0935BAB7F2BAa7Ce1d8e96172130b8","4430.530372936","2215.265186468","2215.265186468","0","4,959,436","4,981,102"
