"Address","Total Volume","Total Transfer","Total Ditto Bought","Total Ditto Sold","From Block","To Block"
"0xAd5a024cE5BA96bd8aaE2E8368C410e2C5E4ad63","174193.087157299","174193.087157299","0","0","5,100,001","5,103,000"
"0x5326cF2E960E77F9a09986A6F2A2ad3A7D1AeE12","147530.458377177","49176.819459059","49176.819459059","49176.819459059","5,100,001","5,103,000"
"0x3B7de0CBc5a48433AFB6789Ef7F598F0385382b7","83277.33018014","83277.33018014","0","0","5,100,001","5,103,000"
"0x5745e0EdBD721F0549E2Ef22100cb29a8E8C4aC9","33286.196824897","33286.196824897","0","0","5,100,001","5,103,000"
"0xC4a827b53af641B91d23594ca1a6fB1A191BFcbE","18582.629148867","694.321737979","17888.307410888","0","5,100,001","5,103,000"
"0x1Fd18bebcD1dDE8bE03429c31500A528cb9793ED","9477.222714944","9477.222714944","0","0","5,100,001","5,103,000"
"0x14978621AD703BB94BA803DE5Ee714Cd9457C43c","8896.161687638","0","8896.161687638","0","5,100,001","5,103,000"
"0xC8F78497C72A2940Ca5bC1795c79d48d42B246A4","7784.57053316","7784.57053316","0","0","5,100,001","5,103,000"
"0xD62677607C44bDf809C3C6DE074a0dF7eFCc0Fb5","7759.749616766","7759.749616766","0","0","5,100,001","5,103,000"
"0x8AD4F4f4213f3D24EA4ffcEB716b7Bfb825fD82f","7736.776383444","0","7736.776383444","0","5,100,001","5,103,000"
"0xE6EdEc6b534942627B147704EA4F4ef790976e5C","6492.769456365","0","6492.769456365","0","5,100,001","5,103,000"
"0x4C84f3d5Ef831eE422c68a48AEe1Bcc8f25034a9","5029.201561592","2568.34","2460.861561592","0","5,100,001","5,103,000"
"0x606b48D6b2F4B168f99e1Bd47B382c8e403f15bA","4988.879737149","0","4988.879737149","0","5,100,001","5,103,000"
"0x03fF6c83226CDB10c7a42A2c54c67D63A135Ab69","4823.760543691001","0","0","4823.760543691001","5,100,001","5,103,000"
"0x944dCAF81277038029D4a6334E4617D0a0A7995b","4101.865872172","4101.865872172","0","0","5,100,001","5,103,000"
"0x4EF6B79e5C5b432Efd1CD610AD9fA648602392aC","3895.675523263","3895.675523263","0","0","5,100,001","5,103,000"
"0xE1845c8bc921e34Bb4d988Fdba356c56286bB151","3093.834986181","1198.196506534","697.441973113","1198.196506534","5,100,001","5,103,000"
"0x86462C40c07981f0900E0ad3df5D757A9Dc4a184","2914.5552749440003","1083.546794113","1831.008480831","0","5,100,001","5,103,000"
"0x20bCC3b8a0091dDac2d0BC30F68E6CBb97de59Cd","2735.8861333970003","0","0","2735.8861333970003","5,100,001","5,103,000"
"0xFA18027C3201Fa33880091C74125Ed57BaF99f4c","2599.153482224","1299.576741112","1299.576741112","0","5,100,001","5,103,000"
"0x6284B49544c8900B4612f8450DCE8D484E5c2631","2568.34","0","0","2568.34","5,100,001","5,103,000"
"0xFa7738b3E0Ada6fE99518Ad1154F7f32583Ba291","2509.715238806","2509.715238806","0","0","5,100,001","5,103,000"
"0x2E8DCd1364fEdfcb4EB2d97ED22522CEcde03C4e","2457.99045542","0","2457.99045542","0","5,100,001","5,103,000"
"0xb079A72C627d0a34b880aEe0504B901cBcE64568","2394.088448732","0","2394.088448732","0","5,100,001","5,103,000"
"0x99CE2eC80940d03a30898421654A038E75ab54A8","2346.263946341","0","2346.263946341","0","5,100,001","5,103,000"
"0xbD5Ebb9a38e13d894A9c56746f92C7b1d78DaDC1","1959.19893466","1959.19893466","0","0","5,100,001","5,103,000"
"0x41f7EA11bB37AA6E2bc6D08CeF58D225ae5F2E98","1856.187157389","1856.187157389","0","0","5,100,001","5,103,000"
"0xa795Fe41B3E5712B97f57A7068C0792bCCe15049","1850","1850","0","0","5,100,001","5,103,000"
"0x031F7067369eA3aA9C2d0885F5a2905D60f41949","1848.285093766","924.142546883","924.142546883","0","5,100,001","5,103,000"
"0xaef06368584593f083358b224Da244F5712DCa36","1628.293031879","1628.293031879","0","0","5,100,001","5,103,000"
"0x46ec4fE0fd86484D12D0BFB27e18B25cbE941Be4","1283.560956117","0","1283.560956117","0","5,100,001","5,103,000"
"0xcbd2F22224292B740D3Deb598086c4BACE93d154","1260.777305786","0","1260.777305786","0","5,100,001","5,103,000"
"0x87c36EA040E8F4e5a4c0bE426514484567d190DB","1248.542025108","0","1248.542025108","0","5,100,001","5,103,000"
"0xC82BA62DdC0906E65DdE7e4c94BB61A42a31160d","1245.713054619","0","1245.713054619","0","5,100,001","5,103,000"
"0x988181a84e0085Cf3B8C3e8067a689bf8C19fe02","1195.657921562","0","1195.657921562","0","5,100,001","5,103,000"
"0x16afb89Ab56e4386CbcE59b5Cd5692471D92e879","1189.029019646","0","1189.029019646","0","5,100,001","5,103,000"
"0x41Ca636E5daE220bA5E9F14c38929D28007b93F0","1131.350366888","1131.350366888","0","0","5,100,001","5,103,000"
"0xb8F964368B78E9bCBC4694959698F36d675d01e0","1117.5139227549998","0","1117.5139227549998","0","5,100,001","5,103,000"
