"Address","Total Volume","Total Transfer","Total Ditto Bought","Total Ditto Sold","From Block","To Block"
"0x5C28C9B410049A905e4fb454a663BAb06a927CCD","443415.928068575","156865.33581638","129685.25643581498","156865.33581638","4,994,662","5,008,220"
"0x0084f1798082146a3182AAa26A72A11f78AC7E2A","64791.471307153995","22088.051786808","42703.419520346","0","4,994,662","5,008,220"
"0xB161C47F8df5090Dcf3B88266c4878FCD45d41EA","64760.793826736","32339","32421.793826736","0","4,994,662","5,008,220"
"0x20bCC3b8a0091dDac2d0BC30F68E6CBb97de59Cd","53134.282563634006","0","0","53134.282563634006","4,994,662","5,008,220"
"0xAd5a024cE5BA96bd8aaE2E8368C410e2C5E4ad63","51257.819066051","36993.917721081","14263.90134497","0","4,994,662","5,008,220"
"0x840b422eF978CD94e1160981c09E71F4842BBc3b","48320.11922659","48320.11922659","0","0","4,994,662","5,008,220"
"0x50Bba4554D67d9298428a9358648039F14971581","45087.466173776","31158.561866315","13928.904307461","0","4,994,662","5,008,220"
"0xD0788DBAD803Bd128bBbbed415D58C21B0a2b178","44759.215985072005","0","44759.215985072005","0","4,994,662","5,008,220"
"0xeb83ca387489Af2C798928d38C84000446F7DC09","35148.852945187","35148.852945187","0","0","4,994,662","5,008,220"
"0x21A98a1da4850EF7cB053881250fCBB4Ed6CF11C","33755.833771134","33755.833771134","0","0","4,994,662","5,008,220"
"0x5E3cc633E7577c127123F7e5443052134bEBAD91","23559.999917974","11279.99963238","12280.000285594","0","4,994,662","5,008,220"
"0x30de904e95673bBb03753af05DDdf2f06d023a5d","17630.801530111","17630.801530111","0","0","4,994,662","5,008,220"
"0xb9A900D72062D816A61C84Ec06569bB9030F43D9","16996.56569419","9562.718248405","7433.847445785","0","4,994,662","5,008,220"
"0xA334d6154F75d502cda28B331B2e1B9800597169","16579.001257927","5508.101257927","11070.9","0","4,994,662","5,008,220"
"0x30859d95B45D0d08C510aB81b4e1b5810cB921EF","13963.242412901","0","13963.242412901","0","4,994,662","5,008,220"
"0xC4a827b53af641B91d23594ca1a6fB1A191BFcbE","13295.170291606","6647.585145803","6647.585145803","0","4,994,662","5,008,220"
"0x1bf72ecf304F65B903bbe1c8377777caf34d32aE","12625.485944605","12625.485944605","0","0","4,994,662","5,008,220"
"0xFb8e63b51B7151b0f0D8E5Cf590BF8B2E84D5a0C","12527.492683666","0","12527.492683666","0","4,994,662","5,008,220"
"0xf71215b13560c4458Dd2B309dA1f1683b5EbE5B3","12177.744104783","6255.983224786","5921.760879997","0","4,994,662","5,008,220"
"0xdca90927498cF66c2081Be5854bbB7d9E1cFA70c","11130.147263469","0","11130.147263469","0","4,994,662","5,008,220"
"0xef26D0C112c14B3B1E24363b6A08CaD67Fe4283c","10919.15136363","0","10919.15136363","0","4,994,662","5,008,220"
"0x90261affce0715AcFAa3eE78d8A10D1EFf3d0405","10187.870699351999","247","9940.870699351999","0","4,994,662","5,008,220"
"0xd7C5e4099A6e8B4b46F6686326004ecca6Ffd538","10130.744768566","5065.3723842829995","5065.372384283","0","4,994,662","5,008,220"
"0x718A518f40508e7a23eAe0d50b7A85683d30e12d","9677.464974403","4837.7864660840005","4839.678508319","0","4,994,662","5,008,220"
"0x7f7056DaD6cecEBEef208F5F0F13F32F3893Be0d","9064.113055874","4532.056527937","0","4532.056527937","4,994,662","5,008,220"
"0xBa11610E28406A4Cd34d9E993EdD9E7F2Ea90d53","8288.224116512","4288.2241165119995","4000","0","4,994,662","5,008,220"
"0xfACaEe8fa4585BFeBA2d8c014549BC0f49aB1e5e","8136.83976494","0","8136.83976494","0","4,994,662","5,008,220"
"0xe9abaE51154491efAcDAB72F6420c18Bcfc4d7b7","8080.851826014","4040.425913007","4040.425913007","0","4,994,662","5,008,220"
"0x0cFc30B5f853106E1562A8480d361d234550fa3B","8054.109458414","8054.109458414","0","0","4,994,662","5,008,220"
"0xC4d8FdAebb98F4a53023296D8ab24E8d6affd552","7798.191073381","4030.599405297","3767.591668084","0","4,994,662","5,008,220"
"0x09d3cc6DE89359A664a1371600f5030595e1686B","7406.520053699","0","7406.520053699","0","4,994,662","5,008,220"
"0xaB3DAE1Dc3Aadf89D397b5B0f64b87ec172c2f73","7380.246468894","7380.246468894","0","0","4,994,662","5,008,220"
"0xD2d35F43eD710Ba948A3CC506442828e4bBa4787","7335.444323128","0","7335.444323128","0","4,994,662","5,008,220"
"0xc40fDd4e42F2255213e05D45aD32C79B481121DC","7101.577846485","0","7101.577846485","0","4,994,662","5,008,220"
"0x20e409C080e4925B53DAF25292391f4D204A44dB","6995.289693194","0","6995.289693194","0","4,994,662","5,008,220"
"0x996b979741702C12D511152126309070DDED8039","6566.651358507","0","6566.651358507","0","4,994,662","5,008,220"
"0x18bbB8854a4264fa584DAE839D8ec4DCE42d9b0C","6346.9914288479995","3173.4957144239997","3173.495714424","0","4,994,662","5,008,220"
"0x921dA5aa9dFe6A9Bfc4e3358E711252C49CcbE47","5994.209078765","0","5994.209078765","0","4,994,662","5,008,220"
"0xF726f45b78FFB79c1B30E1cA5A923437AeA1E1e7","5900.271468062","5900.271468062","0","0","4,994,662","5,008,220"
"0x957Cf4F4F0e81fB1F0a0873abCB8F3dB8282fD7B","5017.573569195","5017.573569195","0","0","4,994,662","5,008,220"
"0xD3ebb468C890ccEEF1206871F090B9Fa728Cd00C","5000","5000","0","0","4,994,662","5,008,220"
"0x56F937b80Ad7Da61e4F0e06d4B7Ef661283F8bF2","4959.295787463","0","4959.295787463","0","4,994,662","5,008,220"
"0x7eD503c886FC8039332Cb0e867320d64F9068465","4726.907843285","2000","2726.907843285","0","4,994,662","5,008,220"
"0x4817D574bdBA24A3a8302a747e514C6E1a2e98eF","4615.728247272","0","4615.728247272","0","4,994,662","5,008,220"
"0x9034Cd1aAA23F9a1D320c7fAc55582b974F054E3","4550.023687979","1295.76","3254.2636879789998","0","4,994,662","5,008,220"
"0xa455D076F6fa58914c9F9EE95380f3eDB4b03e14","4423.859540084","2211.929770042","2211.929770042","0","4,994,662","5,008,220"
"0x031F7067369eA3aA9C2d0885F5a2905D60f41949","4391.013276812","2195.506638406","2195.506638406","0","4,994,662","5,008,220"
"0x99CE2eC80940d03a30898421654A038E75ab54A8","4324.5946469","2633.299075805","1691.295571095","0","4,994,662","5,008,220"
"0x8cd3bec93D81f900F4faEF7f40259d392b616A7E","4316.059728216","2895.725500583","1420.334227633","0","4,994,662","5,008,220"
"0xBdAfc1c5903bcab5D3daE50CDB0F54178E36Fe61","4131.922117966","0","4131.922117966","0","4,994,662","5,008,220"
"0xCCf0DA739A5a77E9183EdE300083CfAb285dFD8f","4072.406897486","4072.406897486","0","0","4,994,662","5,008,220"
"0xf47f96B866c3564eE767Fcace6025E598AC724Fc","4047.9760674460003","4047.9760674460003","0","0","4,994,662","5,008,220"
"0x9C80c5f0B05566cEAD46d6D0C2776461192765f1","3925.410625528","3925.410625528","0","0","4,994,662","5,008,220"
"0x2aef0DfEE56ABfED8C7Ca934b8Fdb5AAA2432b80","3865.890483645","3865.890483645","0","0","4,994,662","5,008,220"
"0x7fBE42D57bA2502b9Bc1ea4Ec883eFE1277B06Cd","3800","3800","0","0","4,994,662","5,008,220"
"0xb51423c14a448F81563CEbd54AB86719E5C46510","3725.283374575","3725.283374575","0","0","4,994,662","5,008,220"
"0x2D799eacbc09085674006977d9A3CE267dEe3B4f","3663.049013586","0","3663.049013586","0","4,994,662","5,008,220"
"0xe409550E748cA1aA759a029B372E079AD5029341","3500","1500","2000","0","4,994,662","5,008,220"
"0xb2E1A27FdAfc94c318fACFB1094f8F0A93dF5379","3300.599864465","0","3300.599864465","0","4,994,662","5,008,220"
"0xee439A49995EA15792a15F5c7aE48979e58bb317","3210.1149634199996","0","3210.1149634199996","0","4,994,662","5,008,220"
"0xA7917d9906d20ec9d8d0a12F132C7E59141E9e5d","3127.004899183","1318.361016736","1808.6438824470001","0","4,994,662","5,008,220"
"0x55D9217DE695cf70A0550AC3632674A928f4C439","3125.247927031","0","3125.247927031","0","4,994,662","5,008,220"
"0xFA18027C3201Fa33880091C74125Ed57BaF99f4c","3091.8913569779997","1545.9456784889999","1545.9456784889999","0","4,994,662","5,008,220"
"0x6a5957C8A1F8a5bF0241fdDEfA533878d9bB208C","3027.8203394419997","0","3027.8203394419997","0","4,994,662","5,008,220"
"0x3Da30727ed0626b78C212e81B37B97A8eF8A25bB","3027.611635442","0","0","3027.611635442","4,994,662","5,008,220"
"0x7561EEe90e24F3b348E1087A005F78B4c8453524","3025.64846245","0","0","3025.64846245","4,994,662","5,008,220"
"0x32426A860DE52566becEC3bC803D662b57433e1e","3009.99792956","0","3009.99792956","0","4,994,662","5,008,220"
"0xC1016bFFf9810e9C4F68B453ccfCf0884C811F01","2962.526361417","2962.526361417","0","0","4,994,662","5,008,220"
"0x4e65b4c364A194302E80d9576B9A0f9637777ec0","2900","2900","0","0","4,994,662","5,008,220"
"0xcBe2cF3bd012e9C1ADE2Ee4d41DB3DaC763e78F3","2900","0","0","2900","4,994,662","5,008,220"
"0xDA8710bf751dc018B3aD53200188aF8A2cf26591","2865.622660508","0","2865.622660508","0","4,994,662","5,008,220"
"0x4DC7e195677881AE106B1dea9B839B6a03b72F1D","2832.080123845","0","2832.080123845","0","4,994,662","5,008,220"
"0x6c148d1fa3B3bd67202aF5331e90EE315F041C88","2722.249560858","0","2722.249560858","0","4,994,662","5,008,220"
"0x3A8791C84E540464E9932E827c168153cbA3ABf3","2511.216700458","1508.108172451","1003.108528007","0","4,994,662","5,008,220"
"0x551602c5A49e226F415B40a3F1992bEC163f4BA2","2491.810001414","0","2491.810001414","0","4,994,662","5,008,220"
"0x99e861D491eFD625FA96792A0d74352ECC2BFDf4","2399.4904463499997","0","2399.4904463499997","0","4,994,662","5,008,220"
"0xaC78e5584aD029Db73fa26B9C27e659D0ec63feb","2296.6016845619997","1147.78034069","1148.821343872","0","4,994,662","5,008,220"
"0x917176e92Cac77A9f503897baE9Ca43d8A2EC0fB","2288.964786097","0","2288.964786097","0","4,994,662","5,008,220"
"0x36bB6eA14Bc12D32990eF1F2377B6dD65fC3F35e","2242.307517966","771.75717966","1470.550338306","0","4,994,662","5,008,220"
"0xeB9b4eE4CA6b2C15f152Ce4D19704e216d4aE43e","2231.65918138","2231.65918138","0","0","4,994,662","5,008,220"
"0x752E713fB70E3FA1Ac08bCF34485F14A986956c4","2231.65918138","0","0","2231.65918138","4,994,662","5,008,220"
"0x1e87a824BB548a0BB3CB65b304fa6C0bf859cA9F","2212.393945464","0","2212.393945464","0","4,994,662","5,008,220"
"0xb500d933b379bC33fC8332aDf917495917e3915c","2175.081788215","0","2175.081788215","0","4,994,662","5,008,220"
"0x72ADB6d71BD538BF68D280EF96ef31903a98f179","2171.719342802","2171.719342802","0","0","4,994,662","5,008,220"
"0x978Aa0A67FE27eafa5477f027D61A4Ff4FD36d24","2159.616353196","2159.616353196","0","0","4,994,662","5,008,220"
"0xf22f4D42Cd7CFa8BDad83C68e561dd6A083AD6F4","2000","2000","0","0","4,994,662","5,008,220"
"0x32a730cA537118c7C24a7bEd95ef741418D63E4B","1986.294025157","0","1986.294025157","0","4,994,662","5,008,220"
"0x6b858C26EC880CB69698537ECF5EB5D0666B381d","1971.989536053","0","1971.989536053","0","4,994,662","5,008,220"
"0xFe59f790103D4D4bf4427A47A5727CE773c0785C","1963.768309509","0","1963.768309509","0","4,994,662","5,008,220"
"0xC8f07685D541333698f94b49289a04596Fd93084","1939.312328926","0","1939.312328926","0","4,994,662","5,008,220"
