"Address","Total Volume","Total Transfer","Total Ditto Bought","Total Ditto Sold","From Block","To Block"
"0x5326cF2E960E77F9a09986A6F2A2ad3A7D1AeE12","79962.60185038201","26654.200616794","26654.200616794","26654.200616794","5,116,001","5,119,150"
"0x7052927B73f0854209A6E95e9BB15eE8A06aaaF9","60667.837388757005","30559.462987732","30108.374401025","0","5,116,001","5,119,150"
"0xc3A1C411b7B895997cc37Eec950Cf5026C6016c7","25142.111234888","0","25142.111234888","0","5,116,001","5,119,150"
"0xf71215b13560c4458Dd2B309dA1f1683b5EbE5B3","19996.519987288","19996.519987288","0","0","5,116,001","5,119,150"
"0x86462C40c07981f0900E0ad3df5D757A9Dc4a184","19322.249493746","9661.124746873","9661.124746873","0","5,116,001","5,119,150"
"0xdca90927498cF66c2081Be5854bbB7d9E1cFA70c","13000","13000","0","0","5,116,001","5,119,150"
"0x355C1Cf73c2c1D0193B0Dac92863D5F254A3E83D","12389.517013233","4129.839004411","4129.839004411","4129.839004411","5,116,001","5,119,150"
"0x1B313ffA3987EAE6e66FB277f1DfBFEE6838e9aE","7059.317219423","0","7059.317219423","0","5,116,001","5,119,150"
"0x18F174Dedc76770aba8a302351c6f3B24a2e881e","5274.349131753","5274.349131753","0","0","5,116,001","5,119,150"
"0x7fBE42D57bA2502b9Bc1ea4Ec883eFE1277B06Cd","5097.058345963","5097.058345963","0","0","5,116,001","5,119,150"
"0x8c3465472799EcDC5Ee922a4e05172bCe9943304","4602.44256541","2296.221282705","2306.221282705","0","5,116,001","5,119,150"
"0xC625ab000FE195f31C306CCE37adfB57FbD295D8","3565.150409867","0","3565.150409867","0","5,116,001","5,119,150"
"0x0FD4EcA58A3CEF93729F3Ca8743218c45DdD5Eb3","2252.63828581","2252.63828581","0","0","5,116,001","5,119,150"
"0x687cB19e80DdE3A3BfC7F2298732bb44EA2C83eE","2107.107071984","0","2107.107071984","0","5,116,001","5,119,150"
"0xC8fb9d237A6c2A5eBE919BF92e0Dd7562831f6C8","1998.800319948","999.400159974","999.4001599740001","0","5,116,001","5,119,150"
"0x031F7067369eA3aA9C2d0885F5a2905D60f41949","1763.175020862","881.587510431","881.587510431","0","5,116,001","5,119,150"
"0xb74e5e06f50fa9e4eF645eFDAD9d996D33cc2d9D","1707.39","1707.39","0","0","5,116,001","5,119,150"
"0x41f7EA11bB37AA6E2bc6D08CeF58D225ae5F2E98","1572.302297492","1572.302297492","0","0","5,116,001","5,119,150"
"0x4d33DE6D0308dbCfd673eDA2dF1DdB8C7cED696A","1373.087491931","1373.087491931","0","0","5,116,001","5,119,150"
"0xbf4164fAedFd5a2f7C6859aDc4b6241eF808068a","1298.145934436","0","1298.145934436","0","5,116,001","5,119,150"
"0x91F72B2e91346dAc7dB613b01ac8a151D23bfEFb","1238.9324527049998","592.061568743","646.870883962","0","5,116,001","5,119,150"
"0x176F4c285A6a05504A46eE861843511574471654","1165.593547207","1165.593547207","0","0","5,116,001","5,119,150"
"0xd1841d3eB3CE905BbcBD07B56cea8E3C8E0D0897","1150","0","1150","0","5,116,001","5,119,150"
"0xCc22DDc2e3B896Dd2b22A18590E73a2194B22c9C","1020.769669033","1020.769669033","0","0","5,116,001","5,119,150"
"0x76A89F3A15EDc6049Fb231e7f0Ecb6578cb20572","967.308033449","0","967.308033449","0","5,116,001","5,119,150"
"0x7f612CBAEF784F88799229FB76a49A49Fb6A4DCa","819.709201962","819.709201962","0","0","5,116,001","5,119,150"
"0x62279FF21053C9b1E0f16e2a6AA2c93Da28ad4dd","615.903268224","0","615.903268224","0","5,116,001","5,119,150"
"0xb8D0BfD6571D3590CDb34EDe84192B001F730e1D","502.907884826","502.907884826","0","0","5,116,001","5,119,150"
"0x96078447E11880B64c2234b47Ba203DA31eCc98d","466.785740606","267.274344575","199.511396031","0","5,116,001","5,119,150"
"0x5F417D6224f6EDB5aEA06fe836a8A4fB3bD5937C","370.99843541","370.99843541","0","0","5,116,001","5,119,150"
"0x83eDB5acdE144c2f2acd07aCbAef84Cd37827C5b","364.963204765","364.963204765","0","0","5,116,001","5,119,150"
"0x425e7064cA6b9726b76d2b9D6E021a54Da6c01bf","339.35779136","169.67889568","0","169.67889568","5,116,001","5,119,150"
"0x42E01C7a936f1e68285C11c1c00E848fDB3248FB","338.350722046","0","338.350722046","0","5,116,001","5,119,150"
"0x19BA65d5e63e417A50dFdB22c6E03B73A4A37779","326.782603522","163.391301761","163.391301761","0","5,116,001","5,119,150"
"0xB3b5Ae501dA7Eb031A79153FE9455ab094623aA6","295.12883771","147.564418855","147.564418855","0","5,116,001","5,119,150"
"0x513C06dEF4F0f93941243C045fb5E9c68076F060","266.084299688","0","266.084299688","0","5,116,001","5,119,150"
"0x73D8520003cf72C0F661115c5BA2652644203Eb9","253.965566678","0","253.965566678","0","5,116,001","5,119,150"
"0x783E43ef8792A39ec3BFE5C2985db9975F159282","192.069851466","192.069851466","0","0","5,116,001","5,119,150"
"0x99CE2eC80940d03a30898421654A038E75ab54A8","164.850152585","0","164.850152585","0","5,116,001","5,119,150"
"0xdc1745a78037f04F0cc3864C40d8D8f4372AB35b","147.039786499","0","147.039786499","0","5,116,001","5,119,150"
