"Address","Total Volume","Total Transfer","Total Ditto Bought","Total Ditto Sold","From Block","To Block"
"0x5326cF2E960E77F9a09986A6F2A2ad3A7D1AeE12","581006.212666083","193668.737555361","193668.737555361","193668.737555361","5,065,056","5,075,000"
"0x50Bba4554D67d9298428a9358648039F14971581","48548.773474877","0","48548.773474877","0","5,065,056","5,075,000"
"0xC4a827b53af641B91d23594ca1a6fB1A191BFcbE","47105.223232045","15907.304393906","31197.918838138998","0","5,065,056","5,075,000"
"0xFb8e63b51B7151b0f0D8E5Cf590BF8B2E84D5a0C","46736.104600733","46736.104600733","0","0","5,065,056","5,075,000"
"0x55D9217DE695cf70A0550AC3632674A928f4C439","43119.877582168","0","43119.877582168","0","5,065,056","5,075,000"
"0x303cD4749EB5aB28ff14114BCBb71f0E6a2b16cD","38373.938724094","38373.938724094","0","0","5,065,056","5,075,000"
"0x308942D6751DadB755C9FE4dC3d0D517ab83C8c1","36823.85501374","0","36823.85501374","0","5,065,056","5,075,000"
"0x45E719c2c6a97D9D53103BB01613665B7cECba31","34083.481991312","34083.481991312","0","0","5,065,056","5,075,000"
"0x100c6F3529F2183B458D760b4EE6d3230F206747","33398.002023182","0","33398.002023182","0","5,065,056","5,075,000"
"0x6D47B707e40FA8C91B89B4b1A3d42759a4089ceE","33074.472461307","17074.472461307","16000","0","5,065,056","5,075,000"
"0x0D3CAE1ff719D6A2aC0Fcd7Cd22F599caC64B6EC","26572.420953579","0","26572.420953579","0","5,065,056","5,075,000"
"0xeb83ca387489Af2C798928d38C84000446F7DC09","25436.061748105","25436.061748105","0","0","5,065,056","5,075,000"
"0x840b422eF978CD94e1160981c09E71F4842BBc3b","23076.399375892","0","23076.399375892","0","5,065,056","5,075,000"
"0x718A518f40508e7a23eAe0d50b7A85683d30e12d","21287.277429365","21287.277429365","0","0","5,065,056","5,075,000"
"0x1699971379A9AD63fa26Bc3c00fCB9e891aB64a1","19345.682632228003","8302.709907348","11042.97272488","0","5,065,056","5,075,000"
"0x514bC8e22d055791995fcf137509Be95Dc20D48C","18584.637746057","18584.637746057","0","0","5,065,056","5,075,000"
"0xDa2eE83B6A9Ce5426E1661Cfd747eAE51fFD5083","15563.263858649","0","15563.263858649","0","5,065,056","5,075,000"
"0x3bc6420c6eEE45ad8Cb3290b5b2F34a8E6893464","15152.029421116","0","15152.029421116","0","5,065,056","5,075,000"
"0xb57677FE25c35896560353467a9C78b97074755c","13979.339380806","0","13979.339380806","0","5,065,056","5,075,000"
"0xff91AcCd5277cc3de3E73DD77e3102b1980e439e","13902.736540418","6951.368270209","6951.368270209","0","5,065,056","5,075,000"
"0x14978621AD703BB94BA803DE5Ee714Cd9457C43c","13337.696830341","7317.032693186","6020.6641371549995","0","5,065,056","5,075,000"
"0x5E3CD27F36932Bc0314aC4e2510585798C34a2fC","13245.857052776","0","0","13245.857052776","5,065,056","5,075,000"
"0x1FdF99c46D7883EAfF9551D03A15026009F2B8EA","13095.098280406","13095.098280406","0","0","5,065,056","5,075,000"
"0xF9C06828963EE182e2339eb62497b1cb691e7250","13034.788279718","5867.042927306","7167.745352411999","0","5,065,056","5,075,000"
"0x03fF6c83226CDB10c7a42A2c54c67D63A135Ab69","11811.072977004002","0","0","11811.072977004002","5,065,056","5,075,000"
"0x72c29B863fAafcbFE1Db1A195c129BA8dC8e7e00","11591.38862565","0","11591.38862565","0","5,065,056","5,075,000"
"0x4ACC5052E763b5FaBce6836D288bB43Ef4EDAc52","11109.128114213001","2630.528720209","8478.599394004","0","5,065,056","5,075,000"
"0xeb20f1D7d1F12EA2020b91d2aA3cCA9Abf0B8837","9699.07436147","4665.29121469","5033.78314678","0","5,065,056","5,075,000"
"0xf70A968361d3449b648596179e6169a25Bc973e2","9464.630382688","4732.315191344","4732.315191344","0","5,065,056","5,075,000"
"0xeF9a43943e987E90b9A200DF9C5A7681908E0d6A","9023.772310785","0","9023.772310785","0","5,065,056","5,075,000"
"0x48A31593Ec05AaBb3bDD004b59C6bD7d574C845E","8732.012994238","6828.465101563001","1903.547892675","0","5,065,056","5,075,000"
"0x20bCC3b8a0091dDac2d0BC30F68E6CBb97de59Cd","8729.229133186","0","0","8729.229133186","5,065,056","5,075,000"
"0x56F937b80Ad7Da61e4F0e06d4B7Ef661283F8bF2","8707.894833014001","0","8707.894833014001","0","5,065,056","5,075,000"
"0x4579440bB281c0D42e1581d816c33645223cA78D","7820.4901275","0","7820.4901275","0","5,065,056","5,075,000"
"0x41f7EA11bB37AA6E2bc6D08CeF58D225ae5F2E98","7307.258530826","3727.628685904","3579.629844922","0","5,065,056","5,075,000"
"0x0598D2c365A5661032a91Da03ED74E298ceEA67b","6533.343287641","0","6533.343287641","0","5,065,056","5,075,000"
"0x86462C40c07981f0900E0ad3df5D757A9Dc4a184","6434.900743242","3217.4567616070003","3217.4439816350005","0","5,065,056","5,075,000"
"0x45556092ee8d74B2696EddE2fbCF81875a1983D3","6203.131470906","3994.825389311","2208.306081595","0","5,065,056","5,075,000"
"0x031F7067369eA3aA9C2d0885F5a2905D60f41949","5921.861617985999","2960.9308089929996","2960.9308089929996","0","5,065,056","5,075,000"
"0xC78BF647A7000D26219932587c98D09b7185F28b","5821.070169224","2910.535084612","2910.535084612","0","5,065,056","5,075,000"
"0xFA18027C3201Fa33880091C74125Ed57BaF99f4c","5071.789359298","3047.576040165","2024.213319133","0","5,065,056","5,075,000"
"0x0cFc30B5f853106E1562A8480d361d234550fa3B","5000","0","5000","0","5,065,056","5,075,000"
